"Name","Rating","Tags","Difficulty.f"
"Launching into Machine Learning 日本語版","4.4","['Data Science', 'Machine Learning']","Intermediate Level"
"Trading Algorithms","4.6","['Business', 'Finance']","Intermediate Level"
"Just Reading and Writing English 2","None","['Language Learning', 'Learning English']","Intermediate Level"
"Fundamentos de Android","4.7","['Computer Science', 'Mobile and Web Development']","None"
"Code Free Data Science","4.3","['Data Science', 'Machine Learning']","Beginner Level"
"The R Programming Environment","4.4","['Data Science', 'Data Analysis']","Intermediate Level"
"Audio digital con Pure Data","4.7","['Arts and Humanities', 'Music and Art']","Intermediate Level"
"Mechanics of Materials III: Beam Bending","4.9","['Physical Science and Engineering', 'Mechanical Engineering']","Intermediate Level"
"Financial Engineering and Risk Management Part II","4.7","['Business', 'Finance']","None"
"Introduction à la théorie de Galois","4.8","['Math and Logic', 'Math and Logic']","None"
"Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep","4.8","['Physical Science and Engineering', 'Mechanical Engineering']","Advanced Level"
"Web Application Development with JavaScript and MongoDB","4.6","['Computer Science', 'Software Development']","None"
"Formal Financial Accounting","4.6","['Business', 'Business Essentials']","Intermediate Level"
"How to Write a Resume (Project-Centered Course)","4.4","['Personal Development', 'Personal Development']","None"
"Fundamentals of Parallelism on Intel Architecture","4.6","['Computer Science', 'Software Development']","Intermediate Level"
"Design your own trading strategy – Culminating Project","4.5","['Business', 'Finance']","Intermediate Level"
"Predictive Analytics and Data Mining","4.2","['Business', 'Leadership and Management']","Intermediate Level"
"The Economics of Health Care Delivery","4.8","['Health', 'Healthcare Management']","None"
"Intro to International Marketing","4.7","['Business', 'Marketing']","None"
"Physique des particules - une introduction","4.3","['Physical Science and Engineering', 'Physics and Astronomy']","Intermediate Level"
"Python Programming Essentials","4.8","['Computer Science', 'Software Development']","Beginner Level"
"The Blockchain System","None","['Computer Science', 'Algorithms']","Beginner Level"
"Юридическое оформление инвестиционных идей","4.6","['Social Sciences', 'Law']","None"
"Patrick Henry: Forgotten Founder","4.9","['Arts and Humanities', 'History']","Beginner Level"
"Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course)","5","['Computer Science', 'Software Development']","None"
"Doğrusal Cebir I: Uzaylar ve İşlemciler / Linear Algebra I: Spaces and Operators","3.8","['Math and Logic', 'Math and Logic']","None"
"Hacer negocios con multinacionales y empresas en América Latina","5","['Business', 'Business Strategy']","Beginner Level"
"Social Psychology","4.9","['Health', 'Psychology']","Beginner Level"
"Elastic Cloud Infrastructure: Scaling and Automation auf Deutsch","None","['Information Technology', 'Cloud Computing']","Intermediate Level"
"Compreendendo o Zika e doenças emergentes","5","['Health', 'Public Health']","Intermediate Level"
"Six Sigma Tools for Improve and Control","4.7","['Business', 'Business Essentials']","Beginner Level"
"Entrepreneurship I: Laying the Foundation","4.8","['Business', 'Entrepreneurship']","None"
"Capstone MOOC for ""Android App Development""","4.1","['Computer Science', 'Mobile and Web Development']","None"
"Introduction to Key Constitutional Concepts and Supreme Court Cases","4.8","['Social Sciences', 'Governance and Society']","Beginner Level"
"Corporate Finance Essentials","4.8","['Business', 'Finance']","None"
"История изобретений и открытий — Вторая история человечества","4.8","['Physical Science and Engineering', 'Research Methods']","Beginner Level"
"Accounting and Finance for IT professionals","4.4","['Business', 'Finance']","Beginner Level"
"Career planning: Your career, your life","None","['Business', 'Leadership and Management']","None"
"Financial Accounting Fundamentals","4.8","['Business', 'Business Essentials']","Beginner Level"
"Transacting on the Blockchain","4.8","['Business', 'Business Strategy']","Intermediate Level"
"Gestión de organizaciones efectivas","4.7","['Business', 'Leadership and Management']","None"
"Basics of Extracellular Vesicles","4.8","['Health', 'Basic Science']","Intermediate Level"
"Philosophy, Science and Religion: Science and Philosophy","4.4","['Arts and Humanities', 'Philosophy']","Beginner Level"
"Understanding Plants - Part I: What a Plant Knows","4.8","['Health', 'Basic Science']","Beginner Level"
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning","4.7","['Computer Science', 'Software Development']","Intermediate Level"
"Changer le monde : passons a l'action (creer son entreprise sociale)","4.5","['Business', 'Business Essentials']","None"
"Love as a Force for Social Justice","4.7","['Arts and Humanities', 'Philosophy']","Beginner Level"
"The Modern World, Part Two: Global History since 1910","4.8","['Arts and Humanities', 'History']","Beginner Level"
"Finding Mutations in DNA and Proteins (Bioinformatics VI)","4.6","['Health', 'Health Informatics']","Beginner Level"
"Healthcare Data Literacy","4.5","['Health', 'Health Informatics']","Intermediate Level"
"Introduction to Programming in Swift 5","4.3","['Computer Science', 'Software Development']","Beginner Level"
"Programming Mobile Applications for Android Handheld Systems: Part 2","4.7","['Computer Science', 'Mobile and Web Development']","None"
"Electrodynamics: Analysis of Electric Fields","4.8","['Physical Science and Engineering', 'Electrical Engineering']","Advanced Level"
"Contexto de Negocios en LATAM: Factores Políticos, Sociales y Económicos","None","['Business', 'Business Essentials']","None"
"Epidemics - the Dynamics of Infectious Diseases","4.7","['Health', 'Basic Science']","None"
"HPV-Associated Oral and Throat Cancer: What You Need to Know","4.7","['Health', 'Basic Science']","None"
"Elastic Cloud Infrastructure: Scaling and Automation en Français","None","['Information Technology', 'Cloud Computing']","Intermediate Level"
"Frontières en tous genres","4.9","['Social Sciences', 'Education']","Beginner Level"
"Репродуктивное здоровье женщины и безопасная беременность","4.9","['Health', 'Patient Care']","Beginner Level"
"C for Everyone: Programming Fundamentals","4.4","['Computer Science', 'Software Development']","Beginner Level"
"Sampling People, Networks and Records","4.5","['Health', 'Psychology']","Beginner Level"
"Кинематика","4.9","['Physical Science and Engineering', 'Mechanical Engineering']","Beginner Level"
"Creative Thinking: Techniques and Tools for Success","None","['Personal Development', 'Personal Development']","Beginner Level"
"Intel® Network Academy - Network Transformation 102","4.4","['Information Technology', 'Networking']","Beginner Level"
"Guitar Scales and Chord Progressions","4.7","['Arts and Humanities', 'Music and Art']","Intermediate Level"
"Interpersonal Communication for Engineering Leaders","4.7","['Business', 'Leadership and Management']","None"
"Fundamentals of Project Planning and Management","4.7","['Business', 'Business Essentials']","Beginner Level"
"Understanding Plants - Part II: Fundamentals of Plant Biology","4.8","['Health', 'Basic Science']","Intermediate Level"
"International Travel Preparation, Safety, & Wellness","4.7","['Personal Development', 'Personal Development']","Beginner Level"
